,Location,Relationship,raw_scenario,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
77,1,1,Supposeyouwanttofindaroutetoacoffeeshopwhenyouarealoneathome.,Suppose you want to find a route to a coffee shop when you are alone at home.,1,0,0,1,0,0
78,1,2,"Supposeyouwanttofindaroutetoacoffeeshopwhenyouareathomewithpeopleyouarecloseto(e.g.,friends,familymembers)","Suppose you want to find a route to a coffee shop when you are at home with people you are close to (e.g., friends, family members)",1,0,0,0,1,0
79,1,3,Supposeyouwanttofindaroutetoacoffeeshopwhenyouareathomewithyourbyyourcolleagues,Suppose you want to find a route to a coffee shop when you are at home with your by your colleagues,1,0,0,0,0,1
80,2,1,SupposeyouwanttofindaroutetohomewhenyouarealoneatStarbucks.,Suppose you want to find a route to home when you are alone at Starbucks.,0,1,0,1,0,0
81,2,2,SupposeyouwanttofindaroutetohomewhenyouareatStarbuckswithyourclosefriends.,Suppose you want to find a route to home when you are at Starbucks with your close friends.,0,1,0,0,1,0
82,2,3,"SupposeyouwanttofindaroutetohomewhenyouareatStarbuckswithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",0,1,0,0,0,1
83,3,1,Supposeyouwanttofindaroutetohomewhilewalkingonastreet.,Suppose you want to find a route to home while walking on a street.,0,0,1,1,0,0
84,3,2,Supposeyouwanttofindaroutetohomewhilewalkingonastreetwithyourclosefriends.,Suppose you want to find a route to home while walking on a street with your close friends.,0,0,1,0,1,0
85,3,3,"Supposeyouwanttofindaroutetohomewhilewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to find a route to home while walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
86,1,1,Supposeyouwanttoreadadigitaldocumentwhenyouarealoneathome.,Suppose you want to read a digital document when you are alone at home.,1,0,0,1,0,0
87,1,2,"Supposeyouwanttoreadadigitaldocumentwhenyouareathomewithpeopleyouarecloseto(e.g.,friends,familymembers).","Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).",1,0,0,0,1,0
88,1,3,"Supposeyouwanttoreadadigitaldocument)whenyouareathomewithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to read a digital document) when you are at home with people you know (e.g., acquaintances, colleagues).",1,0,0,0,0,1
